,GEO_NAME,County_Population,American Indian and Alaska Native alone_Total
792,"Audubon County, IA",5637,4
793,"Benton County, IA",25626,47
794,"Black Hawk County, IA",133009,622
795,"Boone County, IA",26399,132
796,"Bremer County, IA",24782,81
797,"Buchanan County, IA",21125,72
798,"Buena Vista County, IA",20260,3
799,"Butler County, IA",14735,28
800,"Calhoun County, IA",9780,64
801,"Carroll County, IA",20344,4
802,"Cass County, IA",13191,54
803,"Cedar County, IA",18445,45
804,"Cerro Gordo County, IA",42984,208
805,"Cherokee County, IA",11468,51
806,"Chickasaw County, IA",12099,34
807,"Clarke County, IA",9282,23
808,"Clay County, IA",16313,5
809,"Clayton County, IA",17672,36
810,"Clinton County, IA",47218,171
811,"Crawford County, IA",17132,93
812,"Dallas County, IA",84002,88
813,"Davis County, IA",8885,0
814,"Decatur County, IA",8044,30
815,"Delaware County, IA",17258,55
816,"Des Moines County, IA",39600,58
817,"Dickinson County, IA",17056,43
818,"Dubuque County, IA",96802,181
819,"Emmet County, IA",9551,28
820,"Fayette County, IA",19929,9
821,"Floyd County, IA",15858,90
822,"Franklin County, IA",10245,10
823,"Fremont County, IA",6968,48
824,"Greene County, IA",9003,12
825,"Grundy County, IA",12341,14
826,"Guthrie County, IA",10674,36
827,"Hamilton County, IA",15110,6
828,"Hancock County, IA",10888,26
829,"Hardin County, IA",17127,171
830,"Harrison County, IA",14143,63
831,"Henry County, IA",19926,51
832,"Howard County, IA",9264,0
833,"Humboldt County, IA",9566,41
834,"Ida County, IA",6916,48
835,"Iowa County, IA",16207,11
836,"Jackson County, IA",19395,7
837,"Jasper County, IA",36891,68
838,"Jefferson County, IA",18077,2
839,"Johnson County, IA",147001,290
840,"Jones County, IA",20568,6
841,"Keokuk County, IA",10200,12
842,"Kossuth County, IA",15075,26
843,"Lee County, IA",34541,82
844,"Linn County, IA",222121,370
845,"Louisa County, IA",11223,57
846,"Lucas County, IA",8597,1
847,"Lyon County, IA",11769,79
848,"Madison County, IA",15890,13
849,"Mahaska County, IA",22208,58
850,"Marion County, IA",33207,65
851,"Marshall County, IA",40271,125
852,"Mills County, IA",14957,135
853,"Mitchell County, IA",10631,69
854,"Monona County, IA",8796,181
855,"Monroe County, IA",7863,0
856,"Montgomery County, IA",10155,50
857,"Muscatine County, IA",42950,79
858,"O'Brien County, IA",13911,46
859,"Osceola County, IA",6115,13
860,"Page County, IA",15363,115
861,"Palo Alto County, IA",9055,16
862,"Plymouth County, IA",25039,112
863,"Pocahontas County, IA",6898,25
864,"Polk County, IA",474274,1365
865,"Pottawattamie County, IA",93503,305
866,"Poweshiek County, IA",18605,0
867,"Ringgold County, IA",4984,18
868,"Sac County, IA",9868,0
869,"Scott County, IA",172288,614
870,"Shelby County, IA",11694,17
871,"Sioux County, IA",34825,104
872,"Story County, IA",96922,217
873,"Tama County, IA",17136,1386
874,"Taylor County, IA",6201,14
875,"Union County, IA",12453,20
876,"Van Buren County, IA",7223,0
877,"Wapello County, IA",35315,55
878,"Warren County, IA",49361,76
879,"Washington County, IA",22143,60
880,"Wayne County, IA",6413,19
881,"Webster County, IA",36757,125
882,"Winnebago County, IA",10571,63
883,"Winneshiek County, IA",20401,22
884,"Woodbury County, IA",102398,1973
885,"Worth County, IA",7489,3
886,"Wright County, IA",12804,45
887,"Allen County, KS",12630,35
888,"Anderson County, KS",7852,166
889,"Atchison County, KS",16363,77
890,"Barber County, KS",4733,49
891,"Barton County, KS",26791,293
892,"Bourbon County, KS",14702,71
893,"Brown County, KS",9664,780
894,"Butler County, KS",66468,511
895,"Chase County, KS",2645,13
896,"Chautauqua County, KS",3367,208
897,"Cherokee County, KS",20331,499
898,"Cheyenne County, KS",2677,0
899,"Clark County, KS",2053,25
900,"Clay County, KS",8142,54
901,"Cloud County, KS",9060,12
902,"Coffey County, KS",8296,65
903,"Comanche County, KS",1780,0
904,"Cowley County, KS",35591,639
905,"Crawford County, KS",39108,182
906,"Decatur County, KS",2881,26
907,"Dickinson County, KS",19004,167
908,"Doniphan County, KS",7736,70
909,"Douglas County, KS",119319,2935
910,"Edwards County, KS",2925,0
911,"Elk County, KS",2562,46
912,"Ellis County, KS",28878,55
913,"Ellsworth County, KS",6293,56
914,"Finney County, KS",36957,158
915,"Ford County, KS",34484,157
916,"Franklin County, KS",25563,143
917,"Geary County, KS",34895,432
918,"Gove County, KS",2619,15
919,"Graham County, KS",2545,5
920,"Grant County, KS",7616,0
921,"Gray County, KS",6037,30
922,"Greeley County, KS",1200,7
923,"Greenwood County, KS",6156,9
924,"Hamilton County, KS",2616,0
925,"Harper County, KS",5673,144
926,"Harvey County, KS",34555,234
927,"Haskell County, KS",4047,22
928,"Hodgeman County, KS",1842,5
929,"Jackson County, KS",13318,966
930,"Jefferson County, KS",18888,129
931,"Jewell County, KS",2916,15
932,"Johnson County, KS",585502,1517
933,"Kearny County, KS",3932,19
934,"Kingman County, KS",7470,42
935,"Kiowa County, KS",2526,22
936,"Labette County, KS",20367,212
937,"Lane County, KS",1642,29
938,"Leavenworth County, KS",80042,458
939,"Lincoln County, KS",3097,0
940,"Linn County, KS",9635,86
941,"Logan County, KS",2810,21
942,"Lyon County, KS",33299,209
943,"McPherson County, KS",28630,157
944,"Marion County, KS",12032,12
945,"Marshall County, KS",9798,24
946,"Meade County, KS",4261,0
947,"Miami County, KS",33127,278
948,"Mitchell County, KS",6222,11
949,"Montgomery County, KS",32970,1068
950,"Morris County, KS",5566,6
951,"Morton County, KS",2838,3
952,"Nemaha County, KS",10104,50
953,"Neosho County, KS",16125,49
954,"Ness County, KS",2955,6
955,"Norton County, KS",5486,46
956,"Osage County, KS",15882,34
957,"Osborne County, KS",3603,14
958,"Ottawa County, KS",5902,34
959,"Pawnee County, KS",6709,60
960,"Phillips County, KS",5408,14
961,"Pottawatomie County, KS",23545,336
962,"Pratt County, KS",9582,142
963,"Rawlins County, KS",2509,22
964,"Reno County, KS",63101,614
965,"Republic County, KS",4686,17
966,"Rice County, KS",9762,72
967,"Riley County, KS",75296,330
968,"Rooks County, KS",5118,13
969,"Rush County, KS",3102,9
970,"Russell County, KS",6977,7
971,"Saline County, KS",54977,261
972,"Scott County, KS",4949,5
973,"Sedgwick County, KS",512064,5077
974,"Seward County, KS",22692,160
975,"Shawnee County, KS",178284,1570
976,"Sheridan County, KS",2506,5
977,"Sherman County, KS",5966,46
978,"Smith County, KS",3663,19
979,"Stafford County, KS",4214,43
980,"Stanton County, KS",2063,6
981,"Stevens County, KS",5686,15
982,"Sumner County, KS",23208,326
983,"Thomas County, KS",7824,57
984,"Trego County, KS",2858,23
985,"Wabaunsee County, KS",6888,37
986,"Wallace County, KS",1575,6
987,"Washington County, KS",5525,6
988,"Wichita County, KS",2143,28
989,"Wilson County, KS",8780,57
990,"Woodson County, KS",3170,16
991,"Wyandotte County, KS",164345,739
992,"Adair County, KY",19241,44
993,"Allen County, KY",20794,0
994,"Anderson County, KY",22214,0
995,"Ballard County, KY",8090,41
996,"Barren County, KY",43680,50
997,"Bath County, KY",12268,14
998,"Bell County, KY",27188,41
999,"Boone County, KY",129095,130
1000,"Bourbon County, KY",20144,0
1001,"Boyd County, KY",48091,47
1002,"Boyle County, KY",29913,85
1003,"Bracken County, KY",8306,14
1004,"Breathitt County, KY",13116,24
1005,"Breckinridge County, KY",20080,36
1006,"Bullitt County, KY",79466,139
1007,"Butler County, KY",12745,26
1008,"Caldwell County, KY",12727,0
1009,"Calloway County, KY",38776,112
1010,"Campbell County, KY",92267,68
1011,"Carlisle County, KY",4841,70
1012,"Carroll County, KY",10711,19
1013,"Carter County, KY",27290,110
1014,"Casey County, KY",15796,44
1015,"Christian County, KY",72263,467
1016,"Clark County, KY",35872,30
1017,"Clay County, KY",20621,70
1018,"Clinton County, KY",10211,0
1019,"Crittenden County, KY",9083,29
1020,"Cumberland County, KY",6713,0
1021,"Daviess County, KY",99937,164
1022,"Edmonson County, KY",12122,34
1023,"Elliott County, KY",7517,6
1024,"Estill County, KY",14313,58
1025,"Fayette County, KY",318734,810
1026,"Fleming County, KY",14479,9
1027,"Floyd County, KY",36926,4
1028,"Franklin County, KY",50296,81
1029,"Fulton County, KY",6210,22
1030,"Gallatin County, KY",8703,0
1031,"Garrard County, KY",17328,70
1032,"Grant County, KY",24915,28
1033,"Graves County, KY",37294,44
1034,"Grayson County, KY",26178,106
1035,"Green County, KY",11023,310
1036,"Greenup County, KY",35765,27
1037,"Hancock County, KY",8719,12
1038,"Hardin County, KY",108095,326
1039,"Harlan County, KY",27134,21
1040,"Harrison County, KY",18668,0
1041,"Hart County, KY",18627,102
1042,"Henderson County, KY",46137,79
1043,"Henry County, KY",15814,38
1044,"Hickman County, KY",4568,12
1045,"Hopkins County, KY",45664,163
1046,"Jackson County, KY",13373,2
1047,"Jefferson County, KY",767154,1436
1048,"Jessamine County, KY",52422,209
1049,"Johnson County, KY",22843,20
1050,"Kenton County, KY",164688,239
1051,"Knott County, KY",15513,5
1052,"Knox County, KY",31467,261
1053,"Larue County, KY",14156,9
1054,"Laurel County, KY",60180,228
1055,"Lawrence County, KY",15783,5
1056,"Lee County, KY",6751,20
1057,"Leslie County, KY",10472,0
1058,"Letcher County, KY",22676,47
1059,"Lewis County, KY",13490,146
1060,"Lincoln County, KY",24458,4
1061,"Livingston County, KY",9263,11
1062,"Logan County, KY",26849,20
1063,"Lyon County, KY",8186,29
1064,"McCracken County, KY",65284,195
1065,"McCreary County, KY",17635,140
1066,"McLean County, KY",9331,18
1067,"Madison County, KY",89700,330
1068,"Magoffin County, KY",12666,4
1069,"Marion County, KY",19232,26
1070,"Marshall County, KY",31166,58
1071,"Martin County, KY",11919,21
1072,"Mason County, KY",17153,6
1073,"Meade County, KY",28326,216
1074,"Menifee County, KY",6405,0
1075,"Mercer County, KY",21516,45
1076,"Metcalfe County, KY",10004,4
1077,"Monroe County, KY",10634,15
1078,"Montgomery County, KY",27759,85
1079,"Morgan County, KY",13285,14
1080,"Muhlenberg County, KY",31081,68
1081,"Nelson County, KY",45388,51
1082,"Nicholas County, KY",7100,20
1083,"Ohio County, KY",24071,8
1084,"Oldham County, KY",65374,136
1085,"Owen County, KY",10741,25
1086,"Owsley County, KY",4463,4
1087,"Pendleton County, KY",14520,8
1088,"Perry County, KY",26917,29
1089,"Pike County, KY",60483,105
1090,"Powell County, KY",12321,53
1091,"Pulaski County, KY",64145,205
1092,"Robertson County, KY",2143,0
1093,"Rockcastle County, KY",16827,186
1094,"Rowan County, KY",24499,45
1095,"Russell County, KY",17760,24
1096,"Scott County, KY",53517,133
1097,"Shelby County, KY",46786,0
1098,"Simpson County, KY",18063,109
1099,"Spencer County, KY",18246,39
1100,"Taylor County, KY",25500,0
1101,"Todd County, KY",12350,4
1102,"Trigg County, KY",14344,0
1103,"Trimble County, KY",8637,26
1104,"Union County, KY",14802,5
1105,"Warren County, KY",126427,394
1106,"Washington County, KY",12019,0
1107,"Wayne County, KY",20609,0
1108,"Webster County, KY",13155,9
1109,"Whitley County, KY",36089,68
1110,"Wolfe County, KY",7223,30
1111,"Woodford County, KY",26097,0
1112,"Acadia Parish, LA",62568,20
1113,"Allen Parish, LA",25661,540
1114,"Ascension Parish, LA",121176,57
1115,"Assumption Parish, LA",22714,83
1116,"Avoyelles Parish, LA",40882,368
1117,"Beauregard Parish, LA",36769,321
1118,"Bienville Parish, LA",13668,6
1119,"Bossier Parish, LA",126131,641
1120,"Caddo Parish, LA",248361,1050
1121,"Calcasieu Parish, LA",200182,687
1122,"Caldwell Parish, LA",9996,50
1123,"Cameron Parish, LA",6868,34
1124,"Catahoula Parish, LA",9893,19
1125,"Claiborne Parish, LA",16153,36
1126,"Concordia Parish, LA",20021,15
1127,"De Soto Parish, LA",27216,302
1128,"East Baton Rouge Parish, LA",444094,857
1129,"East Carroll Parish, LA",7225,0
1130,"East Feliciana Parish, LA",19499,93
1131,"Evangeline Parish, LA",33636,78
1132,"Franklin Parish, LA",20322,10
1133,"Grant Parish, LA",22348,73
1134,"Iberia Parish, LA",72691,71
1135,"Iberville Parish, LA",32956,71
1136,"Jackson Parish, LA",15926,12
1137,"Jefferson Parish, LA",435300,1694
1138,"Jefferson Davis Parish, LA",31467,290
1139,"Lafayette Parish, LA",240091,407
1140,"Lafourche Parish, LA",98214,2343
1141,"LaSalle Parish, LA",14949,149
1142,"Lincoln Parish, LA",47356,152
1143,"Livingston Parish, LA",138111,333
1144,"Madison Parish, LA",11472,8
1145,"Morehouse Parish, LA",25992,11
1146,"Natchitoches Parish, LA",38963,415
1147,"Orleans Parish, LA",389648,632
1148,"Ouachita Parish, LA",156075,271
1149,"Plaquemines Parish, LA",23373,308
1150,"Pointe Coupee Parish, LA",22158,65
1151,"Rapides Parish, LA",131546,865
1152,"Red River Parish, LA",8618,0
1153,"Richland Parish, LA",20474,0
1154,"Sabine Parish, LA",24088,1764
1155,"St. Bernard Parish, LA",45694,172
1156,"St. Charles Parish, LA",52724,201
1157,"St. Helena Parish, LA",10411,108
1158,"St. James Parish, LA",21357,22
1159,"St. John the Baptist Parish, LA",43446,0
1160,"St. Landry Parish, LA",83449,138
1161,"St. Martin Parish, LA",53752,287
1162,"St. Mary Parish, LA",51734,646
1163,"St. Tammany Parish, LA",252093,1434
1164,"Tangipahoa Parish, LA",130504,348
1165,"Tensas Parish, LA",4666,0
1166,"Terrebonne Parish, LA",112587,6391
1167,"Union Parish, LA",22475,14
1168,"Vermilion Parish, LA",59867,265
1169,"Vernon Parish, LA",51007,646
1170,"Washington Parish, LA",46457,139
1171,"Webster Parish, LA",39631,139
1172,"West Baton Rouge Parish, LA",25860,33
1173,"West Carroll Parish, LA",11180,39
1174,"West Feliciana Parish, LA",15377,23
1175,"Winn Parish, LA",14494,26
1176,"Androscoggin County, ME",107444,249
1177,"Aroostook County, ME",68269,1249
1178,"Cumberland County, ME",290944,547
1179,"Franklin County, ME",30019,119
1180,"Hancock County, ME",54541,225
1181,"Kennebec County, ME",121545,666
1182,"Knox County, ME",39823,136
1183,"Lincoln County, ME",34067,138
1184,"Oxford County, ME",57325,172
1185,"Penobscot County, ME",151748,1731
1186,"Piscataquis County, ME",16887,92
1187,"Sagadahoc County, ME",35277,120
1188,"Somerset County, ME",50710,224
1189,"Waldo County, ME",39418,182
1190,"Washington County, ME",31694,1607
1191,"York County, ME",203102,845
1192,"Allegany County, MD",71977,94
1193,"Anne Arundel County, MD",567696,997
1194,"Baltimore County, MD",827625,2262
1195,"Calvert County, MD",91082,122
1196,"Caroline County, MD",32875,132
1197,"Carroll County, MD",167522,362
1198,"Cecil County, MD",102517,165
1199,"Charles County, MD",157671,849
1200,"Dorchester County, MD",32261,31
1201,"Frederick County, MD",248472,606
1202,"Garrett County, MD",29376,50
1203,"Harford County, MD",251025,447
1204,"Howard County, MD",315327,715
1205,"Kent County, MD",19593,25
1206,"Montgomery County, MD",1040133,3068
1207,"Prince George's County, MD",906202,3166
1208,"Queen Anne's County, MD",49355,43
1209,"St. Mary's County, MD",111531,146
1210,"Somerset County, MD",25737,86
1211,"Talbot County, MD",37211,53
1212,"Washington County, MD",149811,358
1213,"Wicomico County, MD",102172,173
1214,"Worcester County, MD",51564,109
1215,"Baltimore city, MD",614700,1585
1216,"Barnstable County, MA",213690,1137
1217,"Berkshire County, MA",127328,425
1218,"Bristol County, MA",558905,426
1219,"Dukes County, MA",17313,127
1220,"Essex County, MA",781024,1884
1221,"Franklin County, MA",70935,219
1222,"Hampden County, MA",469116,1280
1223,"Hampshire County, MA",161159,272
1224,"Middlesex County, MA",1595192,2958
1225,"Nantucket County, MA",11101,35
1226,"Norfolk County, MA",698249,880
1227,"Plymouth County, MA",512135,680
1228,"Suffolk County, MA",791766,2357
1229,"Worcester County, MA",822280,1813
1230,"Alcona County, MI",10364,58
1231,"Alger County, MI",9194,320
1232,"Allegan County, MI",115250,558
1233,"Alpena County, MI",28612,152
1234,"Antrim County, MI",23177,176
1235,"Arenac County, MI",15165,190
1236,"Baraga County, MI",8507,775
1237,"Barry County, MI",60057,163
1238,"Bay County, MI",104786,410
1239,"Benzie County, MI",17552,293
1240,"Berrien County, MI",154807,619
1241,"Branch County, MI",43584,180
1242,"Calhoun County, MI",134473,939
1243,"Cass County, MI",51460,577
1244,"Charlevoix County, MI",26219,388
1245,"Cheboygan County, MI",25458,431
1246,"Chippewa County, MI",37834,5428
1247,"Clare County, MI",30616,163
1248,"Clinton County, MI",77896,138
1249,"Crawford County, MI",13836,70
1250,"Delta County, MI",36190,688
1251,"Dickinson County, MI",25570,324
1252,"Eaton County, MI",109155,533
1253,"Emmet County, MI",33039,958
1254,"Genesee County, MI",409361,1510
1255,"Gladwin County, MI",25289,168
1256,"Gogebic County, MI",15414,414
1257,"Grand Traverse County, MI",91746,997
1258,"Gratiot County, MI",41067,211
1259,"Hillsdale County, MI",45830,179
1260,"Houghton County, MI",36360,104
1261,"Huron County, MI",31543,77
1262,"Ingham County, MI",289564,1049
1263,"Ionia County, MI",64176,204
1264,"Iosco County, MI",25247,200
1265,"Iron County, MI",11212,176
1266,"Isabella County, MI",70775,2395
1267,"Jackson County, MI",158913,694
1268,"Kalamazoo County, MI",261573,689
1269,"Kalkaska County, MI",17463,133
1270,"Kent County, MI",643140,2649
1271,"Keweenaw County, MI",2130,0
1272,"Lake County, MI",11763,117
1273,"Lapeer County, MI",88202,307
1274,"Leelanau County, MI",21639,649
1275,"Lenawee County, MI",98474,492
1276,"Livingston County, MI",188482,534
1277,"Luce County, MI",6364,361
1278,"Mackinac County, MI",10817,1822
1279,"Macomb County, MI",868704,2525
1280,"Manistee County, MI",24444,385
1281,"Marquette County, MI",66939,558
1282,"Mason County, MI",28884,221
1283,"Mecosta County, MI",43264,166
1284,"Menominee County, MI",23234,540
1285,"Midland County, MI",83389,380
1286,"Missaukee County, MI",15006,95
1287,"Monroe County, MI",149699,449
1288,"Montcalm County, MI",63209,316
1289,"Montmorency County, MI",9261,82
1290,"Muskegon County, MI",173043,1312
