,GEO_NAME,County_Population,American Indian and Alaska Native alone_Total
769,"Spencer County, IN",20526,46
770,"Starke County, IN",22941,49
771,"Steuben County, IN",34474,35
772,"Sullivan County, IN",20792,11
773,"Switzerland County, IN",10628,0
774,"Tippecanoe County, IN",189294,430
775,"Tipton County, IN",15218,1
776,"Union County, IN",7153,0
777,"Vanderburgh County, IN",181313,206
778,"Vermillion County, IN",15560,48
779,"Vigo County, IN",107693,193
780,"Wabash County, IN",31631,195
781,"Warren County, IN",8247,18
782,"Warrick County, IN",61928,88
783,"Washington County, IN",27827,77
784,"Wayne County, IN",66613,130
785,"Wells County, IN",27947,37
786,"White County, IN",24217,71
787,"Whitley County, IN",33649,126
788,"Adair County, IA",7124,0
789,"Adams County, IA",3726,3
790,"Allamakee County, IA",13880,25
791,"Appanoose County, IA",12510,22
