,ctname,Predrt_1_2
62569,"Hawaii County, HI",53.37
62722,"Honolulu County, HI",67.28
63457,"Kalawao County, HI",42.05
63466,"Kauai County, HI",58.24
63520,"Maui County, HI",61.57
63637,"Ada County, ID",54.17
63817,"Adams County, ID",51.29
63826,"Bannock County, ID",51.09
63895,"Bear Lake County, ID",49.47
63904,"Benewah County, ID",50.46
63913,"Bingham County, ID",48.18
63940,"Blaine County, ID",50.41
63955,"Boise County, ID",48.28
63961,"Bonner County, ID",50.13
63991,"Bonneville County, ID",53.21
64057,"Boundary County, ID",46.17
64066,"Butte County, ID",47.68
64072,"Camas County, ID",53.59
64078,"Canyon County, ID",55.67
64168,"Caribou County, ID",57.83
64177,"Cassia County, ID",52.03
64198,"Clark County, ID",42.84
64204,"Clearwater County, ID",45.56
64213,"Custer County, ID",46.24
64219,"Elmore County, ID",53.49
64237,"Franklin County, ID",46.69
64246,"Fremont County, ID",48.54
64258,"Gem County, ID",45.59
64270,"Gooding County, ID",52.72
64279,"Idaho County, ID",47.54
64297,"Jefferson County, ID",49.2
64312,"Jerome County, ID",57.97
64330,"Kootenai County, ID",51.67
64408,"Latah County, ID",52.22
64432,"Lemhi County, ID",46.89
64444,"Lewis County, ID",44.15
64456,"Lincoln County, ID",50.47
64462,"Madison County, ID",64.42
64483,"Minidoka County, ID",49.27
64501,"Nez Perce County, ID",47.82
64534,"Oneida County, ID",48.48
64540,"Owyhee County, ID",50.28
64552,"Payette County, ID",51.02
64567,"Power County, ID",52.98
64576,"Shoshone County, ID",45.76
64588,"Teton County, ID",43.31
64594,"Twin Falls County, ID",51.21
64639,"Valley County, ID",49.87
64651,"Washington County, ID",46.35
64663,"Adams County, IL",48.62
64720,"Alexander County, IL",46.25
64735,"Bond County, IL",39.7
64750,"Boone County, IL",53.03
64774,"Brown County, IL",38.93
64783,"Bureau County, IL",42.41
64816,"Calhoun County, IL",46.35
64825,"Carroll County, IL",44.62
64846,"Cass County, IL",52.39
64864,"Champaign County, IL",53.43
64996,"Christian County, IL",46.41
65029,"Clark County, IL",44.79
65044,"Clay County, IL",40.82
65059,"Clinton County, IL",46.15
65086,"Coles County, IL",48.94
65125,"Cook County, IL",63.03
69085,"Crawford County, IL",44.12
69106,"Cumberland County, IL",45.72
69118,"DeKalb County, IL",49.55
69184,"De Witt County, IL",43.33
69202,"Douglas County, IL",45.89
69220,"DuPage County, IL",60.65
69871,"Edgar County, IL",44.1
69889,"Edwards County, IL",44.46
69901,"Effingham County, IL",45.33
69928,"Fayette County, IL",45.05
69952,"Ford County, IL",45.74
69970,"Franklin County, IL",46.2
70009,"Fulton County, IL",44.45
70048,"Gallatin County, IL",46.07
70057,"Greene County, IL",46.41
70075,"Grundy County, IL",49.52
70108,"Hamilton County, IL",47.2
70120,"Hancock County, IL",43.68
70144,"Hardin County, IL",45.09
70153,"Henderson County, IL",47.03
70165,"Henry County, IL",42.99
70207,"Iroquois County, IL",43.73
70237,"Jackson County, IL",49.27
70282,"Jasper County, IL",45.6
70294,"Jefferson County, IL",45.86
70330,"Jersey County, IL",48.61
70351,"Jo Daviess County, IL",40.98
70372,"Johnson County, IL",44.54
70387,"Kane County, IL",53.59
70636,"Kankakee County, IL",47.71
70726,"Kendall County, IL",48.0
70759,"Knox County, IL",44.08
70810,"Lake County, IL",51.3
71275,"La Salle County, IL",45.57
71362,"Lawrence County, IL",47.52
71380,"Lee County, IL",40.87
71410,"Livingston County, IL",50.88
71443,"Logan County, IL",42.81
71470,"McDonough County, IL",47.39
71503,"McHenry County, IL",45.58
71662,"McLean County, IL",51.08
71788,"Macon County, IL",47.35
71893,"Macoupin County, IL",46.68
71935,"Madison County, IL",46.07
72121,"Marion County, IL",46.51
72160,"Marshall County, IL",44.5
72178,"Mason County, IL",47.13
72199,"Massac County, IL",46.85
72214,"Menard County, IL",47.1
72226,"Mercer County, IL",43.49
72241,"Monroe County, IL",40.72
72262,"Montgomery County, IL",44.78
72289,"Morgan County, IL",47.38
72322,"Moultrie County, IL",38.37
72337,"Ogle County, IL",47.43
72373,"Peoria County, IL",49.99
72520,"Perry County, IL",44.95
72541,"Piatt County, IL",42.32
72556,"Pike County, IL",47.3
72574,"Pope County, IL",44.92
72583,"Pulaski County, IL",49.02
72592,"Putnam County, IL",48.33
72601,"Randolph County, IL",44.62
72631,"Richland County, IL",44.24
72649,"Rock Island County, IL",51.42
72772,"St. Clair County, IL",46.47
72955,"Saline County, IL",46.57
72985,"Sangamon County, IL",48.78
73147,"Schuyler County, IL",45.05
73159,"Scott County, IL",43.42
73168,"Shelby County, IL",43.05
73189,"Stark County, IL",39.61
73198,"Stephenson County, IL",48.13
73240,"Tazewell County, IL",46.18
73333,"Union County, IL",46.51
73351,"Vermilion County, IL",46.51
73426,"Wabash County, IL",48.01
73441,"Warren County, IL",47.0
73459,"Washington County, IL",43.27
73474,"Wayne County, IL",43.12
73492,"White County, IL",45.35
73510,"Whiteside County, IL",48.74
73567,"Will County, IL",54.94
74026,"Williamson County, IL",46.69
74074,"Winnebago County, IL",49.63
74308,"Woodford County, IL",43.59
74338,"Adams County, IN",43.99
74362,"Allen County, IN",47.77
74653,"Bartholomew County, IN",46.48
74701,"Benton County, IN",48.11
74713,"Blackford County, IN",45.2
74728,"Boone County, IN",45.89
74761,"Brown County, IN",46.75
74776,"Carroll County, IN",45.45
74800,"Cass County, IN",45.16
74836,"Clark County, IN",47.43
74917,"Clay County, IN",43.25
74938,"Clinton County, IN",52.43
74965,"Crawford County, IN",44.35
74977,"Daviess County, IN",42.38
75001,"Dearborn County, IN",44.07
75034,"Decatur County, IN",51.43
75055,"De Kalb County, IN",46.37
75085,"Delaware County, IN",47.95
75178,"Dubois County, IN",44.99
75202,"Elkhart County, IN",49.4
75313,"Fayette County, IN",41.18
75337,"Floyd County, IN",45.63
75400,"Fountain County, IN",48.68
75418,"Franklin County, IN",47.62
75436,"Fulton County, IN",44.27
75457,"Gibson County, IN",46.71
75481,"Grant County, IN",46.64
75532,"Greene County, IN",45.95
75562,"Hamilton County, IN",42.86
75682,"Hancock County, IN",41.84
75715,"Harrison County, IN",45.71
75736,"Hendricks County, IN",43.56
75802,"Henry County, IN",48.19
75844,"Howard County, IN",47.93
75907,"Huntington County, IN",49.38
75937,"Jackson County, IN",45.19
75970,"Jasper County, IN",45.92
75997,"Jay County, IN",44.59
76021,"Jefferson County, IN",43.27
76045,"Jennings County, IN",46.7
76066,"Johnson County, IN",44.47
76135,"Knox County, IN",45.51
76168,"Kosciusko County, IN",46.6
76228,"Lagrange County, IN",47.03
76255,"Lake County, IN",48.95
76612,"La Porte County, IN",49.73
76702,"Lawrence County, IN",46.94
76735,"Madison County, IN",46.74
76849,"Marion County, IN",51.42
77524,"Marshall County, IN",43.94
77563,"Martin County, IN",46.91
77575,"Miami County, IN",52.27
77608,"Monroe County, IN",48.7
77704,"Montgomery County, IN",46.0
77734,"Morgan County, IN",50.44
77776,"Newton County, IN",44.66
77791,"Noble County, IN",46.41
77824,"Ohio County, IN",43.39
77833,"Orange County, IN",45.48
77854,"Owen County, IN",45.95
77872,"Parke County, IN",41.62
77887,"Perry County, IN",41.62
77905,"Pike County, IN",45.26
77920,"Porter County, IN",45.2
78022,"Posey County, IN",40.61
78046,"Pulaski County, IN",46.74
78061,"Putnam County, IN",41.35
78085,"Randolph County, IN",44.41
78112,"Ripley County, IN",45.4
78133,"Rush County, IN",43.72
78151,"St. Joseph County, IN",50.54
78379,"Scott County, IN",47.33
78397,"Shelby County, IN",46.68
78430,"Spencer County, IN",43.07
78448,"Starke County, IN",46.5
78472,"Steuben County, IN",45.43
78502,"Sullivan County, IN",45.71
78520,"Switzerland County, IN",48.99
78532,"Tippecanoe County, IN",51.22
78646,"Tipton County, IN",46.78
78661,"Union County, IN",37.67
78670,"Vanderburgh County, IN",48.56
78820,"Vermillion County, IN",43.99
78838,"Vigo County, IN",48.25
78925,"Wabash County, IN",40.01
78952,"Warren County, IN",40.23
78961,"Warrick County, IN",43.19
78997,"Washington County, IN",46.86
79018,"Wayne County, IN",48.21
79072,"Wells County, IN",45.39
79096,"White County, IN",45.12
79123,"Whitley County, IN",47.38
79147,"Adair County, IA",41.86
79159,"Adams County, IA",42.57
79168,"Allamakee County, IA",44.62
79186,"Appanoose County, IA",43.42
79204,"Audubon County, IA",43.49
79216,"Benton County, IA",41.92
79240,"Black Hawk County, IA",48.63
79357,"Boone County, IA",45.76
79381,"Bremer County, IA",41.29
79408,"Buchanan County, IA",43.44
79429,"Buena Vista County, IA",51.39
79450,"Butler County, IA",42.78
79468,"Calhoun County, IA",45.28
79483,"Carroll County, IA",40.77
79504,"Cass County, IA",40.99
79522,"Cedar County, IA",41.68
79540,"Cerro Gordo County, IA",41.71
79576,"Cherokee County, IA",43.48
79591,"Chickasaw County, IA",38.35
79606,"Clarke County, IA",42.88
